idrss_entries,title,public_date,category,provider,number_of_articles
"48","Census Bureau: Snohomish-to-King among nation's largest commute flows","Tue Mar 05 22:56:46 EST 2013","Business","The Seattle Times (blog)","109"
"49","Martha Stewart testifies in retail suit","Wed Mar 06 00:02:11 EST 2013","Business","Boston Globe","105"
"50","Homeowner's insurance hike ranges from 1% - 20% in ENC","Tue Mar 05 23:17:43 EST 2013","Business","WCTI12.com","27"
"51","Australia Expands at Fastest Pace Since 2007 on Exports: Economy","Wed Mar 06 00:10:44 EST 2013","Business","Bloomberg","90"
"52","FAA investigating report of drone spotted near NYC","Wed Mar 06 00:34:26 EST 2013","Business","Wall Street Journal","129"
"53","Debt issues top list of consumer complaints in Illinois","Tue Mar 05 23:43:44 EST 2013","Business","Chicago Tribune","27"
"54","Yahoo Says New Policy Is Meant to Raise Morale","Tue Mar 05 22:35:06 EST 2013","Business","New York Times","211"
"55","Fake Hermes handbags seized at Calif. ports","Tue Mar 05 15:21:29 EST 2013","Business","MiamiHerald.com","-1"
"56","At Geneva show, shrinking Europe confounds automakers","Tue Mar 05 11:09:27 EST 2013","Business","USA TODAY","34"
"57","Dow reaches record high as stocks rally","Wed Mar 06 00:04:30 EST 2013","Business","Boston Globe","525"
"115","Get ready to pay more for home insurance","Wed Mar 06 00:08:36 EST 2013","Business","Gaston Gazette","27"
"124","Bay Area tops new 'mega-commuter' Census list defining the worst trips to work","Tue Mar 05 00:05:20 EST 2013","Business","San Jose Mercury News","109"
"125","U.S. Had $1.63 Billion Clean-Energy Surplus With China, Pew Says","Wed Mar 06 00:21:01 EST 2013","Business","Bloomberg","3"
"146","Asian markets rise after Dow hits record high","Tue Mar 05 22:34:00 EST 2013","Business","GlobalPost","27"
"148","UPDATE 1-China c.bank eyes more flexible yuan in 2013","Wed Mar 06 00:51:31 EST 2013","Business","Reuters","43"
"149","Carmakers don't see European recovery this year","Tue Mar 05 15:32:53 EST 2013","Business","Elkhart Truth","33"
"160","Luxury Car Makers Seem Unaffected by European Slump","Tue Mar 05 13:02:30 EST 2013","Business","Wall Street Journal (blog)","33"
"161","Investors' Quandary: Get In Now?","Tue Mar 05 23:00:06 EST 2013","Business","New York Times","137"
"167","Horizon, ConAgra milling ventures to merge","Wed Mar 06 01:02:42 EST 2013","Business","Kansas.com","20"
"195","Bay Area tops new 'mega-commuter' Census list defining the worst trips to work","Tue Mar 05 00:05:20 EST 2013","Business","San Jose Mercury News","109"
"196","Martha Stewart testifies in retail suit","Wed Mar 06 00:02:11 EST 2013","Business","Boston Globe","105"
"197","Australia Expands at Fastest Pace Since 2007 on Exports: Economy","Wed Mar 06 00:10:44 EST 2013","Business","Bloomberg","97"
"198","Horizon, ConAgra milling ventures to merge","Wed Mar 06 01:02:42 EST 2013","Business","Kansas.com","20"
"199","FAA investigating report of drone spotted near NYC","Wed Mar 06 00:34:26 EST 2013","Business","Wall Street Journal","131"
"200","Luxury Car Makers Seem Unaffected by European Slump","Tue Mar 05 13:02:30 EST 2013","Business","Wall Street Journal (blog)","33"
"201","Debt issues top list of consumer complaints in Illinois","Tue Mar 05 23:43:44 EST 2013","Business","Chicago Tribune","27"
"202","Yahoo Says New Policy Is Meant to Raise Morale","Tue Mar 05 22:35:06 EST 2013","Business","New York Times","206"
"203","Fake Hermes handbags seized at Calif. ports","Tue Mar 05 15:21:29 EST 2013","Business","MiamiHerald.com","-1"
"204","Investors' Quandary: Get In Now?","Tue Mar 05 23:00:06 EST 2013","Business","New York Times","130"
"259","Drone came within 200 feet of airliner over New York","Tue Mar 05 15:46:56 EST 2013","Business","CNN","131"
"260","Transocean worker says still haunted by Deepwater Horizon blast","Tue Mar 05 21:44:34 EST 2013","Business","Reuters","81"
"272","Ford expects some Europe market recovery in 2013 - Exponent","Tue Mar 05 05:20:44 EST 2013","Business","telegram","-1"
"273","Asian shares rally as Dow record spurs risk taking; gold capped","Wed Mar 06 01:30:19 EST 2013","Business","Reuters","130"
"274","Dow hits new record as stock index rides economic recovery","Wed Mar 06 01:05:30 EST 2013","Business","The Detroit News","523"
"282","Gold futures advance as dollar weakens","Wed Mar 06 01:28:45 EST 2013","Business","MarketWatch","93"
"294","Aussie dollar rises strongly after good economic news","Wed Mar 06 01:30:45 EST 2013","Business","The Australian","101"
"295","Yahoo CEO sets off telecommute dispute","Wed Mar 06 00:07:44 EST 2013","Business","The Daily Cougar","206"
"302","Drought Conditions in US Seen Improving After Snow, USDA Says","Tue Mar 05 23:05:16 EST 2013","Business","Bloomberg","49"
"310","US seizes 1500 counterfeit Hermes purses at Port of LA","Tue Mar 05 21:21:13 EST 2013","Business","Los Angeles Times","11"
"311","Is the Dow the New Safe Haven?","Wed Mar 06 01:39:53 EST 2013","Business","CNBC.com","532"
"312","Geneva motor show preview","Mon Mar 04 08:28:13 EST 2013","Business","Telegraph.co.uk","30"
"320","Car groups seek to lure European consumers","Tue Mar 05 13:03:18 EST 2013","Business","Financial Times","30"
"326","WTI Oil Trades Near 10-Week Low; Libya Halts Zawara Crude Output","Sun Mar 03 19:23:01 EST 2013","Business","Bloomberg","-1"
"335","Oil gains as stocks rise and dollar slips","Wed Mar 06 01:38:18 EST 2013","Business","MarketWatch","128"
"336","Smith & Wesson raises outlook as gun sales soar","Tue Mar 05 16:50:11 EST 2013","Business","CNNMoney","-1"
"337","FOREX-Euro lags, commodity currencies better bid","Tue Mar 05 18:01:34 EST 2013","Business","Reuters","130"
"338","GDP growth still needs to be broader: ACCI","Wed Mar 06 02:03:36 EST 2013","Business","The Australian","100"
"346","Corn Drops a Second Time This Week as Snow Boosts US Crop View","Tue Mar 05 23:16:28 EST 2013","Business","Bloomberg","54"
"354","Martha Stewart denies wrongdoing in agreement with J.C. Penney's","Wed Mar 06 02:13:33 EST 2013","Business","Denver Post","109"
"355","Australia Expands at Fastest Pace Since 2007 on Exports","Wed Mar 06 00:42:43 EST 2013","Business","Businessweek","98"
"356","ECB Mechanic Seeks Keys to Rev Economy","Tue Mar 05 14:23:43 EST 2013","Business","Wall Street Journal","130"
"357","Martha Stewart denies wrongdoing in agreement with JC Penney's","Wed Mar 06 02:17:46 EST 2013","Business","Denver Post","109"
"358","BOJ Nominee Iwata Takes Aim At Central Bank","Tue Mar 05 06:15:24 EST 2013","Business","Wall Street Journal","129"
"359","Britain bucks trend in 'absolutely terrible' start to year in Europe","Tue Mar 05 15:21:08 EST 2013","Business","Telegraph.co.uk","30"
"369","SF Bay Bridge light sculpture switched on","Wed Mar 06 02:07:35 EST 2013","Business","UPI.com","55"
"370","FOREX-Euro inches up vs dollar as Dow hits record; Aussie boosted","Tue Mar 05 16:36:44 EST 2013","Business","Reuters","130"
"371","Samsung invests $112 million in Japan's Sharp","Wed Mar 06 02:20:00 EST 2013","Business","The Associated Press","29"
"405","Renault CEO: Carmakers must push outside Europe","Tue Mar 05 05:52:26 EST 2013","Business","Huffington Post","-1"
"406","China central bank eyes reform, more flexible yuan in 2013","Wed Mar 06 02:32:40 EST 2013","Business","Reuters","50"
"410","Samsung to Buy 3% Stake in Sharp","Wed Mar 06 02:47:46 EST 2013","Business","Wall Street Journal","32"
"411","EURO GOVT-Italian yields fall as investors buy back in","Tue Mar 05 11:51:46 EST 2013","Business","Reuters","129"
"421","Nikkei Rises To Fresh Multi-Year High, Sharp Soars on Tie-Up Talk","Wed Mar 06 02:51:42 EST 2013","Business","Wall Street Journal","34"
"424","GLOBAL MARKETS-China concern, Italy uncertainty weigh on stocks","Mon Mar 04 10:37:44 EST 2013","Business","Reuters UK","-1"
"425","Asia stocks shine after Dow hits record","Wed Mar 06 02:44:21 EST 2013","Business","MarketWatch","97"
"426","Martha Stewart Expresses Surprise at Macy's","Tue Mar 05 22:43:49 EST 2013","Business","Wall Street Journal","110"
"427","Lonmin workers strike at South Africa mine as journalists visit","Tue Mar 05 05:46:49 EST 2013","Business","Chicago Tribune","-1"
"428","Cadbury accused of evading taxes in India: Report","Wed Mar 06 02:58:06 EST 2013","Business","The Express Tribune","15"
"441","Dell deal foe steps it up","Wed Mar 06 02:40:01 EST 2013","Business","New York Post","25"
"461","Thousands of millionaires collect Social Security","Wed Mar 06 03:15:02 EST 2013","Business","Kansas City Star","25"
"462","Bay Lights project dazzles thousands on SF waterfront","Wed Mar 06 02:57:26 EST 2013","Business","KTVU San Francisco","57"
"466","Crude-Oil Futures Higher in Asia","Wed Mar 06 02:01:32 EST 2013","Business","NASDAQ","127"
"467","European shares extend rally; Vodafone jumps","Wed Mar 06 03:17:07 EST 2013","Business","Reuters","30"
"468","'The Bay Lights' Officially Unveiled On Bay Bridge","Wed Mar 06 03:11:46 EST 2013","Business","CBS Local","57"
"504","Crude palm oil futures up 1.26% on rising demand","Wed Mar 06 02:15:43 EST 2013","Business","Economic Times","132"
"509","BOJ Nominee Iwata Adds to Calls for Longer-Term Bond Purchases","Mon Mar 04 21:37:35 EST 2013","Business","Bloomberg","129"
"510","TOP Oil Market News: Crude Trades Near Lowest Price in 10 Weeks","Mon Mar 04 02:57:53 EST 2013","Business","Bloomberg","132"
"511","Samsung Invests $112 Million in Japan's Sharp","Wed Mar 06 03:52:00 EST 2013","Business","ABC News","47"
"520","US stock futures trade higher after record close","Wed Mar 06 03:05:33 EST 2013","Business","USA TODAY","631"
"524","NYers invited to check for unclaimed money","Wed Mar 06 03:35:36 EST 2013","Business","Houston Chronicle","-1"
"525","Yen inches up in Asian trading","Tue Mar 05 23:15:05 EST 2013","Business","Business Recorder (blog)","129"
"528","Crude Falls; Wheat, Gold Prices Rebound: Commodities at Close","Mon Mar 04 04:42:54 EST 2013","Business","Bloomberg","135"
"530","Golden Gate's grey stepsister dresses up in lights","Wed Mar 06 03:57:01 EST 2013","Business","Chicago Tribune","59"
"533","Samsung buys stake in struggling Sharp","Wed Mar 06 04:04:33 EST 2013","Business","CNN","53"
"539","Student loan complaints common in Illinois","Wed Mar 06 04:06:09 EST 2013","Business","WTHI","28"
"540","San Francisco turns a bridge into art with 25000 lights","Wed Mar 06 04:07:21 EST 2013","Business","CNN","60"
"541","Japan's monetary upheaval arrives","Sun Mar 03 14:28:47 EST 2013","Business","Financial Times","129"
"544","Ascena jumps on better-than-expected result","Wed Mar 06 04:12:29 EST 2013","Business","MarketWatch","-1"
"545","US stock rally lifts Dow to record finish","Wed Mar 06 04:12:07 EST 2013","Business","MarketWatch","638"
"558","The U.S. Dollar: Like Turning a Tanker and Heading Higher","Tue Mar 05 11:18:22 EST 2013","Business","Emerging Money","-1"
"562","U.S. stocks rally to lift Dow to new heights","Wed Mar 06 04:12:07 EST 2013","Business","MarketWatch","637"
"563","Euro lags commodity currencies recovery on ECB risks","Wed Mar 06 04:27:21 EST 2013","Business","Reuters","45"
"568","Financial stocks up, as Dow sets record","Wed Mar 06 04:28:48 EST 2013","Business","MarketWatch","637"
"572","Asian grain prices are seen rising in March","Wed Mar 06 04:35:25 EST 2013","Business","MarketWatch","55"
"581","Vodafone shares jump 6pc on talk of Verizon deal","Wed Mar 06 04:41:29 EST 2013","Business","Telegraph.co.uk","39"
"591","European stocks hit highest since 2008 crash","Wed Mar 06 04:24:10 EST 2013","Business","Chicago Tribune","135"
"599","US stock index futures point to fresh peaks","Wed Mar 06 04:57:19 EST 2013","Business","Reuters","647"
"600","FTSE 100 rally continues with Vodafone jumping 6% on talk of deal with US ...","Wed Mar 06 04:56:19 EST 2013","Business","The Guardian","41"
"616","UK Stocks Extend Five-Year High as Vodafone Advances","Wed Mar 06 05:04:42 EST 2013","Business","Bloomberg","44"
"622","Swedish horse-balls seem less gross now that they found 'fecal bacteria' in IKEA ...","Tue Mar 05 16:29:50 EST 2013","Business","Death and Taxes","-1"
"623","EURO GOVT-Italy rallies as ECB backstop trumps political crisis","Wed Mar 06 04:42:46 EST 2013","Business","Reuters","136"
"624","European shares rise to 4-1\2 year high","Wed Mar 06 05:06:48 EST 2013","Business","Reuters","45"
"641","Hong Kong arrests baby milk smugglers","Mon Mar 04 08:14:31 EST 2013","Business","Financial Times","-1"
"642","Martha Stewart Testifies About JC Penney Deal - KUHF","Wed Mar 06 05:20:55 EST 2013","Business","FM","106"
"643","HK Shares End up on Wall Street; Investors Seeking Policy Clarity","Wed Mar 06 04:28:36 EST 2013","Business","Wall Street Journal","99"
"677","Wheat Falls on Indications World New-Crop Supplies Set to Climb","Wed Mar 06 05:50:52 EST 2013","Business","Bloomberg","54"
"678","World stocks up a day after Dow hits record high","Wed Mar 06 05:15:14 EST 2013","Business","Wisconsin State Journal","133"
"680","Samsung buys stake in Sharp","Wed Mar 06 03:42:45 EST 2013","Business","Financial Times","66"
"681","Stocks to Watch: Verizon, Vodafone, Staples","Wed Mar 06 05:36:58 EST 2013","Business","TheStreet.com","58"
"690","Stock futures trade up after record close","Wed Mar 06 06:04:01 EST 2013","Business","USA TODAY","635"
"699","Vodafone boosts U.K. stocks to 2013 high","Wed Mar 06 06:00:50 EST 2013","Business","MarketWatch","55"
"700","Euro-Zone Exports Plunge","Wed Mar 06 06:03:20 EST 2013","Business","Wall Street Journal","138"
"701","Martha Stewart's Starring Role in Court","Wed Mar 06 06:02:18 EST 2013","Business","Businessweek","110"
"706","What to watch: Will S&P 500 hit record next?","Tue Mar 05 23:35:31 EST 2013","Business","USA TODAY","131"
