idrss_entries,title,public_date,category,provider,number_of_articles
"68","Bay Bridge light sculpture brightens the night","Wed Mar 06 00:21:37 EST 2013","Entertainment","San Jose Mercury News","53"
"69","Dancer Held in Acid Attack on Bolshoi Director","Tue Mar 05 23:59:03 EST 2013","Entertainment","New York Times","86"
"70","Nikki & Sara Announce The Motherf**king MTV Movie Awards' Best Fight ...","Wed Mar 06 00:07:45 EST 2013","Entertainment","MTV.com","23"
"71","Kate Middleton may have hinted she's having a girl","Tue Mar 05 22:52:48 EST 2013","Entertainment","Newsday","283"
"72","Kennedy Center Hip-Hop Festival Coming In 2014, Will Feature Nas","Tue Mar 05 16:44:50 EST 2013","Entertainment","Huffington Post","8"
"73","Taylor Swift on serial boyfriends, home buying in Vanity Fair","Wed Mar 06 00:22:49 EST 2013","Entertainment","Boston Globe","233"
"74","TV Column: John Oliver will fill in for Jon Stewart on 'The Daily Show' over summer","Tue Mar 05 21:56:06 EST 2013","Entertainment","Washington Post","126"
"75","Edward Furlong slapped with six-month jail sentence - The Star-Ledger","Tue Mar 05 23:43:08 EST 2013","Entertainment","NJ.com","12"
"76","Justin Bieber: 5 ways he could make things right - Chicago Sun","Tue Mar 05 21:20:39 EST 2013","Entertainment","Times","483"
"77","Jennifer Aniston & Justin Theroux: Different State Outings!","Tue Mar 05 20:22:21 EST 2013","Entertainment","Just Jared","76"
"113","Kate Having a Girl?","Tue Mar 05 19:04:30 EST 2013","Entertainment","E! Online","280"
"114","Edward Furlong Sentenced to 6 Months in Jail","Tue Mar 05 19:32:48 EST 2013","Entertainment","TMZ.com","13"
"126","Should Jen Aniston change her last name to Theroux when she gets married?","Tue Mar 05 11:15:45 EST 2013","Entertainment","Fox News","77"
"127","Carly Rae Jepsen cancels Jamboree show over Boy Scouts' anti-gay ...","Wed Mar 06 00:24:10 EST 2013","Entertainment","Dallas Morning News","199"
"130","LED display puts Bay Bridge in new light","Wed Mar 06 00:06:13 EST 2013","Entertainment","San Francisco Chronicle","52"
"137","Kennedy Center 2013-14 Season to Include Nas Performing With Full Orchestra ...","Tue Mar 05 16:50:00 EST 2013","Entertainment","DCist.com","8"
"138","Justin Bieber apologizes for concert's late start","Tue Mar 05 23:44:55 EST 2013","Entertainment","Newsday","483"
"157","Kennedy Center announces 2013-14 season","Tue Mar 05 11:02:05 EST 2013","Entertainment","Washington Post","8"
"158","Bolshoi Ballet dancer confesses to acid attack: Interfax","Wed Mar 06 00:53:15 EST 2013","Entertainment","Reuters","88"
"168","Adrienne Maloof on Quitting 'Real Housewives' -- 'I Can Sleep Well At Night'","Tue Mar 05 19:54:29 EST 2013","Entertainment","TMZ.com","139"
"215","Should Jen Aniston change her last name to Theroux when she gets married?","Tue Mar 05 11:15:45 EST 2013","Entertainment","Fox News","77"
"216","Kate Having a Girl?","Tue Mar 05 19:04:30 EST 2013","Entertainment","E! Online","291"
"217","Nikki & Sara Announce The Motherf**king MTV Movie Awards' Best Fight ...","Wed Mar 06 00:07:45 EST 2013","Entertainment","MTV.com","23"
"218","Kennedy Center announces 2013-14 season","Tue Mar 05 11:02:05 EST 2013","Entertainment","Washington Post","8"
