idrss_entries,title,public_date,category,provider,number_of_articles
"98","Panel sees risk in long-used osteoporosis drug","Tue Mar 05 17:11:55 EST 2013","Health","USA TODAY","5"
"99","US seniors happier playing video games","Tue Mar 05 23:45:38 EST 2013","Health","UPI.com","9"
"100","Xarelto - FDA Rejects Johnson & Johnson's ACS Indication Again","Tue Mar 05 16:46:26 EST 2013","Health","Latinos Post","13"
"101","More bad news about 'nightmare bacteria', CDC says","Tue Mar 05 23:12:41 EST 2013","Health","NBCNews.com (blog)","48"
"102","ECG for Eyes Sorts Strokes from Vertigo","Tue Mar 05 17:01:26 EST 2013","Health","MedPage Today","4"
"103","Epic Systems Says Alliance Between Electronic Health Records Vendors ...","Tue Mar 05 20:25:23 EST 2013","Health","Forbes","21"
"104","Frail elderly target of drug scam","Wed Mar 06 00:06:10 EST 2013","Health","San Francisco Chronicle","19"
"105","HIV linked to higher chance of heart attack","Tue Mar 05 15:50:45 EST 2013","Health","Reuters","13"
"106","Child born with HIV is 'functionally cured'","Tue Mar 05 03:09:04 EST 2013","Health","Los Angeles Times","726"
"107","UK among Western Europe's unhealthiest despite free medical care, says study","Tue Mar 05 23:42:54 EST 2013","Health","natmonitor.com","8"
"109","FDA panel advises calcitonin salmon not be used for osteoporosis","Tue Mar 05 17:31:33 EST 2013","Health","Chicago Tribune","6"
"128","ADHD reaches beyond childhood","Tue Mar 05 19:18:29 EST 2013","Health","WWLP 22News","72"
"141","Family: Woman at care center did not want life-prolonging measures","Wed Mar 06 00:16:35 EST 2013","Health","Los Angeles Times","277"
"245","Xarelto - FDA Rejects Johnson & Johnson's ACS Indication Again","Tue Mar 05 16:46:26 EST 2013","Health","Latinos Post","13"
"246","US seniors happier playing video games","Tue Mar 05 23:45:38 EST 2013","Health","UPI.com","9"
"247","More bad news about 'nightmare bacteria', CDC says","Tue Mar 05 23:12:41 EST 2013","Health","NBCNews.com (blog)","48"
"248","ECG for Eyes Sorts Strokes from Vertigo","Tue Mar 05 17:01:26 EST 2013","Health","MedPage Today","4"
"249","ADHD reaches beyond childhood","Tue Mar 05 19:18:29 EST 2013","Health","WWLP 22News","72"
"250","Epic Systems Says Alliance Between Electronic Health Records Vendors ...","Tue Mar 05 20:25:23 EST 2013","Health","Forbes","21"
"251","Frail elderly target of drug scam","Wed Mar 06 00:06:10 EST 2013","Health","San Francisco Chronicle","19"
"252","Child born with HIV is 'functionally cured'","Tue Mar 05 03:09:04 EST 2013","Health","Los Angeles Times","726"
"253","FDA panel advises calcitonin salmon not be used for osteoporosis","Tue Mar 05 17:31:33 EST 2013","Health","Chicago Tribune","6"
"254","UK among Western Europe's unhealthiest despite free medical care, says study","Tue Mar 05 23:42:54 EST 2013","Health","natmonitor.com","8"
"297","FDA Says No To Using J&J Blood Thinner To Treat Heart Disease","Mon Mar 04 22:09:13 EST 2013","Health","Forbes","16"
"303","Childhood ADHD often can linger into adulthood","Mon Mar 04 00:06:54 EST 2013","Health","USA TODAY","74"
"307","Dead woman's family won't sue seniors facility","Wed Mar 06 01:43:23 EST 2013","Health","Los Angeles Times","287"
"319","Posters explain how to prevent norovirus","Tue Mar 05 18:45:08 EST 2013","Health","UPI.com","9"
"342","CDC sounds alarm on deadly, untreatable superbugs","Tue Mar 05 17:53:14 EST 2013","Health","USA TODAY","47"
"353","Older Adults Who Play Video Games Feel More Positive and Happy","Wed Mar 06 02:12:42 EST 2013","Health","Science World Report","10"
"402","Cops Probe Refusal to Give CPR","Wed Mar 06 02:49:19 EST 2013","Health","ABC News","290"
"485","Family: Woman denied CPR wanted no intervention","Wed Mar 06 03:26:26 EST 2013","Health","San Francisco Chronicle","294"
"489","Attention deficit disorder often lasts past childhood, study says","Tue Mar 05 03:17:35 EST 2013","Health","Los Angeles Times","74"
"513","CDC Warns CRE Infections More Common, More Resistant","Wed Mar 06 03:43:51 EST 2013","Health","Occupational Health and Safety","50"
"546","Woman who died after 'nurse' refused to give CPR 'did not want medical help'","Wed Mar 06 04:07:58 EST 2013","Health","The Guardian","298"
"569","CDC Warns against Rise of 'Nightmare Bacteria'","Wed Mar 06 04:30:33 EST 2013","Health","Nature World News","51"
"605","HIV cure raises hopes tempered with caution","Wed Mar 06 04:57:17 EST 2013","Health","Times of India","93"
"606","Video games make the elderly happier, research suggests","Wed Mar 06 05:00:09 EST 2013","Health","Computerandvideogames.com","13"
"638","Fears over wave of deadly superbugs invading US hospitals that are resistant to ...","Wed Mar 06 05:20:41 EST 2013","Health","Daily Mail","54"
"650","Bayer, J&J's Xarelto again falls short in bid for ACS use","Tue Mar 05 11:46:40 EST 2013","Health","FiercePharma","17"
"696","Amid CPR Controversy, Many Unanswered Questions","Wed Mar 06 06:02:30 EST 2013","Health","New York Times (blog)","301"
"766","HIV Infection Increases Risk of Heart Attack","Wed Mar 06 05:53:27 EST 2013","Health","Science World Report","14"
"785","Lethal bacteria affecting long-term care facilities could spell 'end of antibiotics ...","Wed Mar 06 06:47:14 EST 2013","Health","McKnight's Long Term Care News","59"
"839","'Nightmare' CRE infections on the rise, CDC says","Wed Mar 06 07:09:39 EST 2013","Health","Family Practice News Digital Network","61"
"844","Family of California woman who died after being denied CPR says she wanted ...","Wed Mar 06 07:21:21 EST 2013","Health","NBCNews.com (blog)","285"
"851","Playing videogames can make older people happy: Study","Wed Mar 06 07:16:36 EST 2013","Health","Zee News","14"
"862","Hydeia Broadbent, Born With HIV, Reacts to 'Cure'","Wed Mar 06 06:16:07 EST 2013","Health","ABC News","96"
"892","OCD in new mothers is common: study","Wed Mar 06 07:43:42 EST 2013","Health","Boston.com","31"
"923","Valerie Harper has terminal brain cancer","Wed Mar 06 07:49:14 EST 2013","Health","USA TODAY","6"
"933","Sex may cure a migraine as well as painkillers","Wed Mar 06 07:43:43 EST 2013","Health","Boston.com","26"
"956","Video Games Improve Elderly Well-Being","Wed Mar 06 08:10:38 EST 2013","Health","TopNews Arab Emirates","16"
"972","Par to pay $45M for off-label Megace marketing","Wed Mar 06 08:22:21 EST 2013","Health","FiercePharma","21"
"973","CDC Gives Heads-Up on Untreatable Bacteria Spreading Through US Hospitals","Wed Mar 06 08:21:52 EST 2013","Health","Eagle's Rant","64"
