idrss_entries,title,public_date,category,provider,number_of_articles
"88","Two-thirds of forest elephants killed by ivory poachers in past decade","Tue Mar 05 06:23:30 EST 2013","Science","The Guardian","40"
"89","Comet set to make closest approach ever to Earth","Tue Mar 05 23:13:41 EST 2013","Science","Science Recorder","60"
"90","Ships to sail directly over the north pole by 2050, scientists say","Mon Mar 04 15:00:52 EST 2013","Science","The Guardian","45"
"91","Skulls of alligator kin shed new light on reptiles' murky history","Mon Mar 04 18:46:34 EST 2013","Science","Los Angeles Times","14"
"92","Canada's North, Home to Bears, and Once, Camels","Tue Mar 05 22:18:12 EST 2013","Science","New York Times","45"
"93","Grotesque Mummy Head Reveals Advanced Medieval Science","Tue Mar 05 09:36:37 EST 2013","Science","LiveScience.com","2"
"94","Europa's Oceans Might Taste Like Earth's Oceans","Tue Mar 05 15:20:34 EST 2013","Science","Wired (blog)","5"
"95","Sinister 'Space Invaders' galaxy found; can we trust our eyes?","Tue Mar 05 18:56:53 EST 2013","Science","Los Angeles Times","20"
"96","Curiosity Rover Leaves Safe Mode, Comes Back Online","Tue Mar 05 23:20:56 EST 2013","Science","Geekosystem","90"
"97","Why it's good for SpaceX's private spaceships to rise above the glitches","Wed Mar 06 00:05:00 EST 2013","Science","NBCNews.com (blog)","74"
"143","Space Invaders Photo Bomb Hubble Telescope Pictures","Tue Mar 05 22:06:19 EST 2013","Science","RedOrbit","20"
"154","A Window into Europa's Ocean Right at the Surface","Tue Mar 05 13:52:12 EST 2013","Science","Jet Propulsion Laboratory","5"
"235","Two-thirds of forest elephants killed by ivory poachers in past decade","Tue Mar 05 06:23:30 EST 2013","Science","The Guardian","40"
"236","Comet set to make closest approach ever to Earth","Tue Mar 05 23:13:41 EST 2013","Science","Science Recorder","61"
"237","Ships to sail directly over the north pole by 2050, scientists say","Mon Mar 04 15:00:52 EST 2013","Science","The Guardian","45"
"238","A Window into Europa's Ocean Right at the Surface","Tue Mar 05 13:52:12 EST 2013","Science","Jet Propulsion Laboratory","7"
"239","Skulls of alligator kin shed new light on reptiles' murky history","Mon Mar 04 18:46:34 EST 2013","Science","Los Angeles Times","14"
"240","Canada's North, Home to Bears, and Once, Camels","Tue Mar 05 22:18:12 EST 2013","Science","New York Times","44"
"241","Space Invaders Photo Bomb Hubble Telescope Pictures","Tue Mar 05 22:06:19 EST 2013","Science","RedOrbit","20"
"242","Grotesque Mummy Head Reveals Advanced Medieval Science","Tue Mar 05 09:36:37 EST 2013","Science","LiveScience.com","2"
"243","Curiosity Rover Leaves Safe Mode, Comes Back Online","Tue Mar 05 23:20:56 EST 2013","Science","Geekosystem","90"
"244","Why it's good for SpaceX's private spaceships to rise above the glitches","Wed Mar 06 00:05:00 EST 2013","Science","NBCNews.com (blog)","74"
"266","Hubble Spies a Space Invader","Tue Mar 05 11:46:37 EST 2013","Science","Slate Magazine (blog)","20"
"267","Europa's sea similar to salty ocean on Earth","Wed Mar 06 01:21:57 EST 2013","Science","Zee News","7"
"287","Engineers troubleshoot Curiosity computer glitch","Fri Mar 01 00:17:45 EST 2013","Science","CNET","91"
"296","Beck Tops At Science Fair","Tue Mar 05 23:52:51 EST 2013","Science","Archbold Buckeye","18"
"301","Study: Massive camels once roamed the Canadian Arctic","Wed Mar 06 01:39:25 EST 2013","Science","Science Recorder","45"
"318","NASA and ESA Think This Distorted Galaxy Looks Like a Space Invader","Tue Mar 05 23:20:50 EST 2013","Science","Geekosystem","20"
"333","Tourists to Get Airplane View of Bright Comet Pan-STARRS","Tue Mar 05 18:52:06 EST 2013","Science","Space.com","61"
"363","Comet making closest approach ever of Earth","Wed Mar 06 00:59:33 EST 2013","Science","Hindu Business Line","62"
"376","Surveys Quantify Loss of Elephants in Africa","Tue Mar 05 16:43:59 EST 2013","Science","New York Times","40"
"390","Nasa's Curiosity rover to be back online next week","Wed Mar 06 02:40:36 EST 2013","Science","Times LIVE","92"
"391","Hindenburg Cause Solved","Tue Mar 05 20:07:10 EST 2013","Science","Patch.com","34"
"407","Hubble Telescope's 'Space Invader' Galaxy Photos (Gallery)","Tue Mar 05 11:19:09 EST 2013","Science","Space.com","20"
"408","Ancient Arctic camel a curious conundrum","Tue Mar 05 16:24:39 EST 2013","Science","Fox News","45"
"409","Scientists: Europa -- Jupiter's moon -- may have a sea similar to Earth's","Wed Mar 06 02:45:14 EST 2013","Science","Science Recorder","7"
"459","Supply ship meets space station after shaky start","Wed Mar 06 03:13:13 EST 2013","Science","Watertown Public Opinion","75"
"494","NASA's Curiosity rover to be back online next week","Wed Mar 06 03:32:01 EST 2013","Science","Economic Times","93"
"495","Wow! Rare Photos Capture 2 Comets Together in Night Sky","Tue Mar 05 16:44:06 EST 2013","Science","Space.com","62"
"502","African Forest Elephant Population Endangered, Poaching And Ivory Trade To ...","Tue Mar 05 22:56:20 EST 2013","Science","Latinos Post","34"
"512","Elephant Poaching Pushes Species To Brink Of Extinction","Wed Mar 06 03:44:21 EST 2013","Science","NPR","35"
"557","World's most detailed scans will reveal how brain works","Tue Mar 05 13:30:00 EST 2013","Science","BBC News","8"
"603","Global warming is about to remake worldwide shipping","Wed Mar 06 05:01:11 EST 2013","Science","Fortune","47"
"604","Comet streaks past Earth in closest-ever approach","Wed Mar 06 05:01:02 EST 2013","Science","Indian Express","63"
"617","Space Invader alien 'spotted' in a galaxy far, far away by Hubble Telescope","Wed Mar 06 05:03:45 EST 2013","Science","Mirror.co.uk","21"
"626","Hindenburg mystery solved 76 years after historic catastrophe: static electricity ...","Sun Mar 03 19:23:14 EST 2013","Science","Daily Mail","36"
"627","Subsurface Water on Europa Tastes like Earth's Oceanic Water","Wed Mar 06 05:13:34 EST 2013","Science","French Tribune","8"
"666","NASA's Curiosity Rover to be back online next week","Wed Mar 06 05:43:23 EST 2013","Science","Hindu Business Line","93"
"733","Stop ivory poaching or face sanctions, nations warned at Cites","Wed Mar 06 06:13:29 EST 2013","Science","The Guardian","38"
"765","Two comets dot night sky","Wed Mar 06 06:36:41 EST 2013","Science","The Advocate","65"
"786","On Jupiter's Moon Europa, Underground Ocean Bubbles Up to Surface","Wed Mar 06 06:47:13 EST 2013","Science","Space.com","9"
"812","Private SpaceX Capsule Brings Big Science to Space Station","Wed Mar 06 06:55:16 EST 2013","Science","Space.com","76"
"824","Comet to become visible to RI watchers soon","Wed Mar 06 07:07:06 EST 2013","Science","The Providence Journal","66"
"832","Asteroid 2013 ET zooms past Earth this weekend","Wed Mar 06 01:45:53 EST 2013","Science","DigitalJournal.com","46"
"842","Big Asteroid to Zoom By Earth This Weekend","Tue Mar 05 22:51:41 EST 2013","Science","Space.com","64"
"850","Curiosity Back to Active Status: NASA","Wed Mar 06 07:17:00 EST 2013","Science","Science World Report","94"
"852","Ancient crocs swam to North America","Tue Mar 05 05:59:44 EST 2013","Science","TG Daily","16"
"873","Falkland Islands: Scientists Claim They Solved Darwin's Wolf Mystery","Wed Mar 06 05:25:06 EST 2013","Science","Latinos Post","28"
"901","Falklanders Vote 170 Years After Argentina Offer","Tue Mar 05 19:17:50 EST 2013","Science","Bloomberg","28"
"908","Wildlife experts: Ivory trade threatens elephants","Wed Mar 06 07:56:38 EST 2013","Science","Huffington Post","43"
"943","View Comet Pan-STARRS March 6-12—With Luck","Wed Mar 06 08:08:48 EST 2013","Science","Patch.com","66"
"969","Polar bear trade ban 'too close to call'","Wed Mar 06 08:20:01 EST 2013","Science","BBC News","7"
"995","Raw: Mt. Etna Eruption Lights Up Sky in Italy","Wed Mar 06 08:09:39 EST 2013","Science","USA TODAY","11"
"1004","The origin of the Falkland Island wolf: A Darwin mystery solved","Wed Mar 06 08:36:29 EST 2013","Science","Los Angeles Times","29"
"1011","Camel Fossils Found In Arctic Suggest Ancient Creatures Roamed Region 3.5 ...","Wed Mar 06 08:37:35 EST 2013","Science","Huffington Post","55"
"1060","Astronomers Find Evidence of Ocean Salts on Europa's Surface.","Wed Mar 06 08:05:05 EST 2013","Science","Slate Magazine (blog)","12"
"1159","Asteroid the Size of a Football Field to Buzz by Earth This Weekend","Wed Mar 06 09:45:31 EST 2013","Science","Cleveland Leader","66"
"1181","Oceans on Jupiter's Europa Resemble Oceans Found on Earth","Wed Mar 06 08:15:11 EST 2013","Science","Nature World News","12"
"1182","Online ivory trade threatens Africa's elephants","Tue Mar 05 12:27:54 EST 2013","Science","Fox News","50"
"1191","Check out these pictures of Mount Etna - Europe's largest volcano - erupting!","Wed Mar 06 07:23:31 EST 2013","Science","BBC News","14"
"1243","Wildlife Experts: Ivory Trade Threatens...","Wed Mar 06 10:24:44 EST 2013","Science","ABC News","53"
"1303","Top conservation groups warn of sanctions against nations involved in ivory trade","Wed Mar 06 10:36:59 EST 2013","Science","Fox News","53"
"1310","Melting Arctic Ice Will Make Way for More Ships and More Species Invasions","Wed Mar 06 10:41:57 EST 2013","Science","Scientific American","47"
"1312","Bright Comet Set for Dazzling Sky Show this Month","Mon Mar 04 15:42:21 EST 2013","Science","Space.com","69"
"1318","900-Pound Camels Used to Live in the Arctic","Wed Mar 06 10:36:19 EST 2013","Science","Smithsonian (blog)","56"
"1331","Having Waited, Threatened Species Have a Chance for Protection","Wed Mar 06 10:43:18 EST 2013","Science","New York Times","9"
"1337","Ivory Trade Nations Face Threat of Sanctions","Wed Mar 06 11:00:57 EST 2013","Science","ABC News","53"
"1403","Comet Pan-STARRS holds promise for stargazers","Wed Mar 06 11:10:00 EST 2013","Science","AFP","70"
"1412","CITES Report Shows Ivory Trade Is Hastening Decline Of Endangered ...","Wed Mar 06 10:31:20 EST 2013","Science","Huffington Post","52"
"1413","Polar Bear Trade Ban Could Save Species, But Ruin Economy","Wed Mar 06 09:14:16 EST 2013","Science","Science World Report","10"
"1438","Don't call him 'Adam': South Carolina man's genes help date first man","Wed Mar 06 11:28:40 EST 2013","Science","Fox News","5"
"1472","Could Earth Germs Colonize Mars?","Wed Mar 06 11:38:22 EST 2013","Science","Discovery News","94"
