idrss_entries,title,public_date,category,provider,number_of_articles
"28","South Africans Seek Meaning in a Shooting","Tue Mar 05 23:48:01 EST 2013","World","New York Times","78"
"29","Chinese Premier's Parting Words Include Warning","Tue Mar 05 22:56:25 EST 2013","World","New York Times","357"
"30","Beijing, US Unveil New Korean Sanctions","Tue Mar 05 23:04:47 EST 2013","World","Wall Street Journal","245"
"31","Biden and Netanyahu Stress Points of Unity in Speeches to Pro-Israel Group","Mon Mar 04 20:51:50 EST 2013","World","New York Times","295"
"32","Israel launches Palestinian-only buses amid accusations of racial segregation","Sun Mar 03 16:55:55 EST 2013","World","Telegraph.co.uk","142"
"33","Teen in Mardi Gras 'excessive force' video swore at police","Tue Mar 05 21:13:31 EST 2013","World","Sydney Morning Herald","114"
"34","Cardinals Signal Careful Pace Toward Vote on Pope","Tue Mar 05 23:14:58 EST 2013","World","New York Times","641"
"35","Malaysia troops hunt Filipino clan in Sabah stand-off","Tue Mar 05 23:57:14 EST 2013","World","BBC News","886"
"36","Chavez death echoes with leftists worldwide","Tue Mar 05 23:26:19 EST 2013","World","CBS News","1,379"
"37","Deputy PM leads Kenya election","Tue Mar 05 22:06:16 EST 2013","World","Xinhua","731"
"118","South Korea military says ready to strike back if North attacks","Wed Mar 06 00:27:48 EST 2013","World","Reuters","245"
"120","With Chavez gone, US oil industry eyes Venezuela","Wed Mar 06 00:26:28 EST 2013","World","Christian Science Monitor","1,353"
"135","Police brutality alleged at Sydney Gay Mardi Gras","Tue Mar 05 22:26:20 EST 2013","World","The Guardian","114"
"136","With Hugo Chavez gone, US oil industry eyes Venezuela","Wed Mar 06 00:42:09 EST 2013","World","Christian Science Monitor","1,398"
"153","China media: Wen's mixed legacy","Wed Mar 06 00:48:53 EST 2013","World","BBC News","360"
"155","Israeli Bus Line for Palestinians Causes Stir","Tue Mar 05 13:50:31 EST 2013","World","Voice of America","142"
"156","VP Biden: US Not Bluffing on Iranian Nuclear Weapons","Mon Mar 04 21:12:06 EST 2013","World","Voice of America","295"
"162","Biden: Obama 'not bluffing' on Iran","Mon Mar 04 12:57:05 EST 2013","World","CBS News","295"
"163","Voters Wait for Final Results","Tue Mar 05 23:20:54 EST 2013","World","AllAfrica.com","702"
"171","Israel launches 'Palestinians only' buses – reports","Sun Mar 03 08:50:59 EST 2013","World","RT","142"
"175","South Africans Seek Meaning in a Shooting","Tue Mar 05 23:48:01 EST 2013","World","New York Times","79"
"176","How will the next pope be chosen?","Wed Mar 06 01:00:31 EST 2013","World","The Guardian","656"
"177","Israel launches 'Palestinians only' buses – reports","Sun Mar 03 08:50:59 EST 2013","World","RT","142"
"178","Police brutality alleged at Sydney Gay Mardi Gras","Tue Mar 05 22:26:20 EST 2013","World","The Guardian","114"
"179","Biden and Netanyahu Stress Points of Unity in Speeches to Pro-Israel Group","Mon Mar 04 20:51:50 EST 2013","World","New York Times","295"
"180","With Hugo Chavez gone, US oil industry eyes Venezuela","Wed Mar 06 00:42:09 EST 2013","World","Christian Science Monitor","1,407"
"181","China media: Wen's mixed legacy","Wed Mar 06 00:48:53 EST 2013","World","BBC News","360"
"182","Malaysia troops hunt Filipino clan in Sabah stand-off","Tue Mar 05 23:57:14 EST 2013","World","BBC News","900"
"183","Deputy PM leads Kenya election","Tue Mar 05 22:06:16 EST 2013","World","Xinhua","702"
"184","South Korea military says ready to strike back if North attacks","Wed Mar 06 00:27:48 EST 2013","World","Reuters","247"
"255","Second man alleges Sydney police violence","Tue Mar 05 23:48:47 EST 2013","World","The Australian","114"
"256","Kenyans wait to know winner after tight presidential vote","Tue Mar 05 18:26:41 EST 2013","World","Reuters","700"
"269","Armed Filipinos elusive after Malaysian assault","Wed Mar 06 01:32:21 EST 2013","World","Houston Chronicle","906"
"277","Kenyans await outcome after tight presidential vote","Wed Mar 06 01:24:03 EST 2013","World","Reuters UK","184"
"278","Shin Bet: Significant rise in Palestinian attacks","Tue Mar 05 14:32:02 EST 2013","World","Jerusalem Post","150"
"279","South Korea vows to retaliate if provoked by North","Wed Mar 06 01:06:33 EST 2013","World","Times of India","249"
"289","Chavez's Death May Challenge China, a Friend","Wed Mar 06 01:30:50 EST 2013","World","New York Times (blog)","1,324"
"290","South Korea says to strike back at North if attacked","Wed Mar 06 01:35:20 EST 2013","World","Reuters","251"
"291","Hugo Chávez: Death of a socialist","Tue Mar 05 23:19:42 EST 2013","World","The Hindu","112"
"304","TAKE-A-LOOK-Kenya votes for a new president","Wed Mar 06 01:41:47 EST 2013","World","Reuters","218"
"305","Devastated, mourning Chavez supporters pour onto streets","Wed Mar 06 01:39:50 EST 2013","World","Reuters","1,433"
"309","Biden: President promises to keep Iran from getting nuclear weapons","Mon Mar 04 13:10:08 EST 2013","World","Los Angeles Times","293"
"316","Split Israel Bus Lines Spur Segregation Debate","Mon Mar 04 19:04:40 EST 2013","World","Wall Street Journal","150"
"331","Venezuela's Hugo Chavez dies aged 58","Wed Mar 06 02:04:34 EST 2013","World","BBC News","1,447"
"334","Venezuelans mourn Chavez as focus turns to funeral, then election","Wed Mar 06 02:07:01 EST 2013","World","Reuters","1,473"
"343","Ministry launches 'Palestinians only' buses","Sat Mar 02 14:44:24 EST 2013","World","Ynetnews","159"
"351","Syria conflict: Refugees number one million, says UN","Wed Mar 06 02:18:55 EST 2013","World","BBC News","33"
"352","Malaysia intensifies search for Filipino gunmen in Sabah","Wed Mar 06 01:23:17 EST 2013","World","The Hindu","944"
"364","Technology Shapes Kenyan Elections","Tue Mar 05 15:08:01 EST 2013","World","Wall Street Journal","221"
"365","Police 'naive' to tell public not to film arrest","Wed Mar 06 01:58:44 EST 2013","World","Sydney Morning Herald","119"
"380","Malaysia escalates hunt for invaders","Wed Mar 06 02:15:44 EST 2013","World","Herald Sun","946"
"396","Following his death, Vice-President Nicolas Maduro will assume the presidency ...","Wed Mar 06 02:40:55 EST 2013","World","BBC News","1,497"
"404","Kenyatta Leads Kenya Presidential Race as Tallying Delayed","Wed Mar 06 02:55:10 EST 2013","World","Businessweek","221"
"413","What's next? Chavez's death leaves many questions","Wed Mar 06 02:49:03 EST 2013","World","CNN","1,490"
"414","South Korea warns on North Korea threat","Wed Mar 06 02:50:40 EST 2013","World","BBC News","258"
"415","The BBC's Irene Caselli says there will be mixed reactions to his death in ...","Wed Mar 06 02:58:34 EST 2013","World","BBC News","1,490"
"416","Number of Syrian refugees has topped 1 million, UN agency says","Wed Mar 06 02:53:37 EST 2013","World","Fox News","42"
"417","Iconic Venezuelan president Hugo Chavez dies","Wed Mar 06 02:58:34 EST 2013","World","BBC News","1,490"
"433","US Diplomat Slams UN Colleagues for Drunken Debates","Wed Mar 06 03:00:31 EST 2013","World","TIME","34"
"445","US urges ban on drunk diplomats at UN budget debates","Mon Mar 04 16:01:24 EST 2013","World","Reuters","34"
"453","As rumors swirl, O'Malley's skills match church's needs","Wed Mar 06 03:10:21 EST 2013","World","Boston Globe","637"
"475","Oscar Pistorius family row over South Africa crime","Tue Mar 05 05:36:33 EST 2013","World","BBC News","82"
"480","Seoul Warns That North Korea's Leadership Could Be Target","Wed Mar 06 03:26:47 EST 2013","World","New York Times","265"
"481","Kenyans await election outcome","Wed Mar 06 02:51:30 EST 2013","World","CNN International","228"
"482","The Magnitsky Trial: Russia Places a Dead Man in the Dock","Wed Mar 06 03:28:32 EST 2013","World","TIME","40"
"483","New China Leader Courts Military","Tue Mar 05 04:18:36 EST 2013","World","Wall Street Journal","372"
"484","Oscar Pistorius' dad triggers controversy with gun defense","Tue Mar 05 15:26:03 EST 2013","World","CNN International","82"
"487","Investor Faces New Russia Fraud Charges","Wed Mar 06 03:10:32 EST 2013","World","Wall Street Journal","40"
"496","Number of Syrian refugees tops million mark: UN","Wed Mar 06 03:32:34 EST 2013","World","CBS News","50"
"517","Syria crisis: refugee numbers reach 1 million - live updates","Wed Mar 06 03:53:30 EST 2013","World","The Guardian","52"
"522","Malaysia launches attack on Filipino intruders in Borneo","Wed Mar 06 03:50:19 EST 2013","World","CNN","1,050"
"529","Kenya elections: Electronic system halts count","Wed Mar 06 03:57:45 EST 2013","World","BBC News","229"
"534","Pyongyang uses Dennis and menace in bid for 'normality'","Wed Mar 06 03:48:57 EST 2013","World","Financial Times","269"
"535","Hugo Chávez: Venezuela begins seven days of mourning after president dies in ...","Wed Mar 06 04:03:21 EST 2013","World","The Guardian","1,463"
"536","Long-forgotten Filipino sultanate's quest for old land sparks deadly crisis in ...","Wed Mar 06 04:03:17 EST 2013","World","Washington Post","1,040"
"537","Duchess of Cambridge discloses baby has been kicking 'very much'","Tue Mar 05 09:39:10 EST 2013","World","Telegraph.co.uk","298"
"543","Duchess's 'slip' prompts speculation royal baby is a girl","Wed Mar 06 04:10:23 EST 2013","World","CNN","306"
"548","Devil in details of grand urban plan","Wed Mar 06 04:05:38 EST 2013","World","Asia Times Online","382"
"549","Is Kate having a daughter? Time will tell","Wed Mar 06 04:18:00 EST 2013","World","The Associated Press","313"
"566","Cameron and Miliband at PMQs: Politics live blog","Wed Mar 06 03:57:54 EST 2013","World","The Guardian (blog)","124"
"567","Russia to Put Dead Lawyer on Trial","Mon Mar 04 14:12:37 EST 2013","World","Voice of America","40"
"573","North Korea mixes Dennis with menace","Wed Mar 06 03:48:57 EST 2013","World","Financial Times","268"
"574","Malaysia troops hunt Filipino clan amid Sabah violence","Tue Mar 05 23:57:14 EST 2013","World","BBC News","1,038"
"576","Too drunk to talk? American UN diplomat complains","Tue Mar 05 11:17:44 EST 2013","World","CBS News","34"
"579","Kenyans await election outcome as results trickle in","Wed Mar 06 04:33:36 EST 2013","World","CNN","236"
"580","Prisoner X was working for Israeli government, Australia confirms","Wed Mar 06 04:44:54 EST 2013","World","The Guardian","19"
"590","Dead But Alive","Wed Mar 06 03:20:57 EST 2013","World","New York Times (blog)","115"
"594","UN: Syrian exodus reaches 1 million","Wed Mar 06 04:53:04 EST 2013","World","CNN International","60"
"595","Russia Accuses Magnitsky Boss Browder of Gazprom Fraud","Tue Mar 05 05:20:25 EST 2013","World","RIA Novosti","40"
"598","Outrage in Kabul despite Ashrafi's denial on endorsing suicide attacks","Tue Mar 05 06:02:15 EST 2013","World","The News International","54"
